rule_id,scope,rule_type,target_course_code,condition_json,source_id,handbook_page,notes
PRE_ELEN3002,ALL_EFA03_EFA04,prerequisite,ELEN3002A,"{""all_of"":[""ELEN2005A"",""ELEN2016A"",""MATH2014A""]}",EBE_2026,81,The table labels MATH2014A as Mathematics I; course code retained.
PRE_ELEN3003,EFA03,prerequisite,ELEN3003A,"{""all_of"":[""ELEN2003A"",""MATH2014A""]}",EBE_2026,81,
PRE_ELEN3007,ALL_EFA03_EFA04,prerequisite,ELEN3007A,"{""all_of"":[""MATH2014A""]}",EBE_2026,81,
CORE_ELEN3007,ALL_EFA03_EFA04,corequisite,ELEN3007A,"{""any_of"":[""APPM3021A"",""MATH3025A""]}",EBE_2026,81,
PRE_ELEN3009,ALL_EFA03_EFA04,prerequisite,ELEN3009A,"{""all_of"":[""ELEN2020A"",""ELEN2021A""]}",EBE_2026,81,
PRE_ELEN3012,ALL_EFA03_EFA04,prerequisite,ELEN3012A,"{""all_of"":[""ELEN2005A"",""MATH2014A""]}",EBE_2026,82,The table labels MATH2014A as Mathematics I; course code retained.
PRE_ELEN3013,ALL_EFA03_EFA04,prerequisite,ELEN3013A,"{""all_of"":[""ELEN2020A"",""ELEN2005A"",""MATH2014A""]}",EBE_2026,82,The table labels MATH2014A as Mathematics I; course code retained.
CORE_ELEN3013,ALL_EFA03_EFA04,corequisite,ELEN3013A,"{""all_of"":[""ELEN3012A""]}",EBE_2026,82,
PRE_ELEN3015,EFA04,prerequisite,ELEN3015A,"{""all_of"":[""ELEN2020A"",""ELEN2005A""]}",EBE_2026,82,
CORE_ELEN3015,EFA04,corequisite,ELEN3015A,"{""all_of"":[""APPM3021A""]}",EBE_2026,82,
PRE_ELEN3016,ALL_EFA03_EFA04,prerequisite,ELEN3016A,"{""all_of"":[""ELEN2005A"",""MATH2014A""]}",EBE_2026,82,
CORE_ELEN3016,ALL_EFA03_EFA04,corequisite,ELEN3016A,"{""all_of"":[""ELEN3012A"",""ELEN3013A""]}",EBE_2026,82,
PRE_ELEN3017,ALL_EFA03_EFA04,prerequisite,ELEN3017A,"{""all_of"":[""ELEN3002A"",""ELEN3012A"",""ELEN3013A"",""ELEN3016A"",""ELEN3009A"",""ELEN3007A"",{""any_of"":[{""all_of"":[""ELEN3000A"",""ELEN3003A""]},{""all_of"":[""ELEN3015A"",""ELEN3024A""]}]}]}",EBE_2026,82,Option-dependent third-year design prerequisite.
PRE_ELEN3018,ALL_EFA03_EFA04,prerequisite,ELEN3018A,"{""all_of"":[""ELEN2020A"",""ELEN2016A""]}",EBE_2026,83,
PRE_ELEN3024,EFA04,prerequisite,ELEN3024A,"{""all_of"":[""ELEN2005A""]}",EBE_2026,83,
CORE_ELEN3024,EFA04,corequisite,ELEN3024A,"{""all_of"":[""ELEN3007A"",""ELEN3012A""]}",EBE_2026,83,
PRE_MATH3025,EFA03,prerequisite,MATH3025A,"{""all_of"":[""MATH2014A""]}",EBE_2026,85,
CORE_MATH3025,EFA03,corequisite,MATH3025A,"{""all_of"":[""ELEN3000A"",""ELEN3007A""]}",EBE_2026,85,
PRE_APPM3021,EFA04,prerequisite,APPM3021A,"{""all_of"":[""MATH2014A""]}",EBE_2026,78,
CORE_APPM3021,EFA04,corequisite,APPM3021A,"{""all_of"":[""ELEN3015A""]}",EBE_2026,78,
PRE_ELEN4000,EFA03,prerequisite,ELEN4000A,"{""all_courses_in_programme_year"":{""programme"":""EFA03"",""year"":3}}",EBE_2026,83,
PRE_ELEN4001,EFA03,prerequisite,ELEN4001A,"{""all_of"":[""ELEN3000A"",""MATH3025A""]}",EBE_2026,83,
PRE_ELEN4002,EFA03,prerequisite,ELEN4002A,"{""all_courses_in_programme_year"":{""programme"":""EFA03"",""year"":3}}",EBE_2026,83,
PRE_ELEN4003,EFA03,prerequisite,ELEN4003A,"{""all_of"":[""ELEN3000A"",""ELEN3003A""]}",EBE_2026,83,
PRE_ELEN4006_EFA03,EFA03,prerequisite,ELEN4006A,"{""all_courses_in_programme_year"":{""programme"":""EFA03"",""year"":3}}",EBE_2026,83,Handbook states all third-year courses.
PRE_ELEN4006_EFA04,EFA04,prerequisite,ELEN4006A,"{""all_courses_in_programme_year"":{""programme"":""EFA04"",""year"":3}}",EBE_2026,83,Handbook states all third-year courses.
PRE_ELEN4010,EFA04,prerequisite,ELEN4010A,"{""all_of"":[""ELEN3009A""]}",EBE_2026,83,
PRE_ELEN4011,EFA04,prerequisite,ELEN4011A,"{""all_courses_in_programme_year"":{""programme"":""EFA04"",""year"":3}}",EBE_2026,83,
PRE_ELEN4012,EFA04,prerequisite,ELEN4012A,"{""all_courses_in_programme_year"":{""programme"":""EFA04"",""year"":3}}",EBE_2026,83,
PRE_ELEN4014,EFA03,prerequisite,ELEN4014A,"{""all_of"":[""ELEN3003A""]}",EBE_2026,83,
PRE_ELEN4016,ALL_EFA03_EFA04,prerequisite,ELEN4016A,"{""all_of"":[""ELEN3012A"",""ELEN3013A"",""ELEN3016A""]}",EBE_2026,83,
PRE_ELEN4017,EFA04,prerequisite,ELEN4017A,"{""all_of"":[""ELEN3024A""]}",EBE_2026,83,
PRE_ELEN4018,EFA03,prerequisite,ELEN4018A,"{""all_of"":[""ELEN3000A"",""ELEN3003A""]}",EBE_2026,84,
PRE_ELEN4019,ALL_EFA03_EFA04,prerequisite,ELEN4019A,"{""all_of"":[""ELEN3018A""]}",EBE_2026,84,
PRE_ELEN4020,EFA04,prerequisite,ELEN4020A,"{""all_of"":[""ELEN3009A""]}",EBE_2026,84,
PRE_ELEN4022,EFA04,prerequisite,ELEN4022A,"{""all_of"":[""ELEN3009A""]}",EBE_2026,84,
PRE_ELEN4023,EFA03,prerequisite,ELEN4023A,"{""all_of"":[""ELEN3003A""]}",EBE_2026,84,
PRE_ELEN4024,EFA04,prerequisite,ELEN4024A,"{""all_of"":[""ELEN3009A"",""APPM3021A""]}",EBE_2026,84,
PRE_ELEN4025,EFA04,prerequisite,ELEN4025A,"{""all_of"":[""ELEN3009A"",""APPM3021A""]}",EBE_2026,84,
CORE_MECN4020,EFA03|EFA04,corequisite,MECN4020A,"{""any_of"":[""MECN4034A"",""MECN4035A"",""ELEN4002A"",""ELEN4012A""]}",EBE_2026,92,
PROGRESS_TO_YEAR_2,BSC_ENG,progression,YEAR_2,"{""all_courses_in_prior_years_completed_through"":1}",EBE_2026,56,Senate may permit a special curriculum within credit and rule restrictions.
PROGRESS_TO_YEAR_3,BSC_ENG,progression,YEAR_3,"{""all_courses_in_prior_years_completed_through"":2}",EBE_2026,56,Senate may permit a special curriculum within credit and rule restrictions.
PROGRESS_TO_YEAR_4,BSC_ENG,progression,YEAR_4,"{""all_courses_in_prior_years_completed_through"":3}",EBE_2026,56,Senate may permit a special curriculum within credit and rule restrictions.
EXCLUSION_BSC_ENG,BSC_ENG,exclusion,,"{""all_of"":[{""repeated_courses_must_pass"":true},{""minimum_aggregate_percent"":45}]}",EBE_2026,59,Minimum study requirement for renewal of registration.
